 Mills","Nitrogen trifluoride","kg/2021 USD, purchaser price","1.04e-09","2.10e-10","1.25e-09","322130"
322220,"Paper Bag and Coated and Treated Paper Manufacturing","HFC-143a","kg/2021 USD, purchaser price","6.76e-08","3.67e-08","1.04e-07","322220"
322220,"Paper Bag and Coated and Treated Paper Manufacturing","HFC-23","kg/2021 USD, purchaser price","3.91e-08","2.15e-09","4.13e-08","322220"
322220,"Paper Bag and Coated and Treated Paper Manufacturing","HFC-236fa","kg/2021 USD, purchaser price","1.22e-09","6.62e-10","1.88e-09","322220"
322220,"Paper Bag and Coated and Treated Paper Manufacturing","HFC-32","kg/2021 USD, purchaser price","1.10e-07","5.95e-08","1.69e-07","322220"
322220,"Paper Bag and Coated and Treated Paper Manufacturing","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.83e-07","9.92e-08","2.82e-07","322220"
322220,"Paper Bag and Coated and Treated Paper Manufacturing","Methane","kg/2021 USD, purchaser price","1.08e-03","1.86e-04","1.27e-03","322220"
322220,"Paper Bag and Coated and Treated Paper Manufacturing","Nitrogen trifluoride","kg/2021 USD, purchaser price","2.10e-09","2.82e-10","2.39e-09","322220"
322220,"Paper Bag and Coated and Treated Paper Manufacturing","Nitrous oxide","kg/2021 USD, purchaser price","6.47e-05","5.18e-06","6.98e-05","322220"
322220,"Paper Bag and Coated and Treated Paper Manufacturing","Perfluorocyclobutane","kg/2021 USD, purchaser price","5.86e-10","7.85e-11","6.64e-10","322220"
322220,"Paper Bag and Coated and Treated Paper Manufacturing","Perfluoropropane","kg/2021 USD, purchaser price","6.83e-10","9.16e-11","7.75e-10","322220"
322220,"Paper Bag and Coated and Treated Paper Manufacturing","Sulfur hexafluoride","kg/2021 USD, purchaser price","1.76e-08","2.65e-09","2.03e-08","322220"
322230,"Stationery Product Manufacturing","Carbon dioxide","kg/2021 USD, purchaser price","3.33e-01","4.01e-02","3.73e-01","322230"
322230,"Stationery Product Manufacturing","Carbon tetrafluoride","kg/2021 USD, purchaser price","4.09e-08","3.73e-09","4.46e-08","322230"
322230,"Stationery Product Manufacturing","Hexafluoroethane","kg/2021 USD, purchaser price","8.20e-09","9.11e-10","9.12e-09","322230"
322230,"Stationery Product Manufacturing","HFC-125","kg/2021 USD, pu
