ties for Road Transportation","HFC-143a","kg/2021 USD, purchaser price","1.38e-07","0.00e+00","1.38e-07","48A000"
491110,"Postal Service","HFC-143a","kg/2021 USD, purchaser price","8.69e-08","0.00e+00","8.69e-08","491000"
491110,"Postal Service","HFC-23","kg/2021 USD, purchaser price","6.83e-09","0.00e+00","6.83e-09","491000"
491110,"Postal Service","HFC-236fa","kg/2021 USD, purchaser price","1.57e-09","0.00e+00","1.57e-09","491000"
491110,"Postal Service","HFC-32","kg/2021 USD, purchaser price","1.41e-07","0.00e+00","1.41e-07","491000"
491110,"Postal Service","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","2.35e-07","0.00e+00","2.35e-07","491000"
491110,"Postal Service","Methane","kg/2021 USD, purchaser price","6.74e-04","0.00e+00","6.74e-04","491000"
491110,"Postal Service","Nitrogen trifluoride","kg/2021 USD, purchaser price","5.67e-10","0.00e+00","5.67e-10","491000"
491110,"Postal Service","Nitrous oxide","kg/2021 USD, purchaser price","1.19e-05","0.00e+00","1.19e-05","491000"
491110,"Postal Service","Perfluorocyclobutane","kg/2021 USD, purchaser price","1.58e-10","0.00e+00","1.58e-10","491000"
491110,"Postal Service","Perfluoropropane","kg/2021 USD, purchaser price","1.84e-10","0.00e+00","1.84e-10","491000"
491110,"Postal Service","Sulfur hexafluoride","kg/2021 USD, purchaser price","7.66e-09","0.00e+00","7.66e-09","491000"
492110,"Couriers and Express Delivery Services","Carbon dioxide","kg/2021 USD, 
