 and Harbor Operations","Nitrous oxide","kg/2021 USD, purchaser price","2.89e-05","0.00e+00","2.89e-05","48A000"
488410,"Motor Vehicle Towing","HFC-32","kg/2021 USD, purchaser price","2.23e-07","0.00e+00","2.23e-07","48A000"
488410,"Motor Vehicle Towing","Perfluorocyclobutane","kg/2021 USD, purchaser price","1.78e-10","0.00e+00","1.78e-10","48A000"
488410,"Motor Vehicle Towing","Methane","kg/2021 USD, purchaser price","8.75e-04","0.00e+00","8.75e-04","48A000"
488410,"Motor Vehicle Towing","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","3.72e-07","0.00e+00","3.72e-07","48A000"
488410,"Motor Vehicle Towing","Perfluoropropane","kg/2021 USD, purchaser price","2.08e-10","0.00e+00","2.08e-10","48A000"
488410,"Motor Vehicle Towing","Nitrogen trifluoride","kg/2021 USD, purchaser price","6.40e-10","0.00e+00","6.40e-10","48A000"
488410,"Motor Vehicle Towing","Sulfur hexafluoride","kg/2021 USD, purchaser price","7.17e-09","0.00e+00","7.17e-09","48A000"
488410,"Motor Vehicle Towing","Nitrous oxide","kg/2021 USD, purchaser price","2.89e-05","0.00e+00","2.89e-05","48A000"
488410,"Motor Vehicle Towing","Hexafluoroethane","kg/2021 USD, purchaser price","3.51e-09","0.00e+00","3.51e-09","48A000"
488490,"Other Support Activities for Road Transportation","HFC-125","kg/2021 USD, purchaser price","3.70e-07","0.00e+00","3.70e-07","48A000"
488490,"Other Support Activities for Road Transportation","HFC-32","kg/2021 USD, purchaser price","2.23e-07","0.00e+00","2.23e-07","48A000"
488490,"Other Support Activities for Road Transportation","Perfluorocyclobutane","kg/2021 USD, purchaser price","1.78e-10","0.00e+00","1.78e-10","48A000"
488490,"Other Support Activi
