ipment Rental and Leasing","Perfluorocyclobutane","kg/2021 USD, purchaser price","4.16e-10","0.00e+00","4.16e-10","532400"
541191,"Title Abstract and Settlement Offices","Perfluorocyclobutane","kg/2021 USD, purchaser price","7.87e-11","0.00e+00","7.87e-11","541100"
541191,"Title Abstract and Settlement Offices","HFC-236fa","kg/2021 USD, purchaser price","9.59e-10","0.00e+00","9.59e-10","541100"
541191,"Title Abstract and Settlement Offices","HFC-134a","kg/2021 USD, purchaser price","3.65e-07","0.00e+00","3.65e-07","541100"
541191,"Title Abstract and Settlement Offices","Perfluoropropane","kg/2021 USD, purchaser price","9.18e-11","0.00e+00","9.18e-11","541100"
541191,"Title Abstract and Settlement Offices","HFC-32","kg/2021 USD, purchaser price","8.62e-08","0.00e+00","8.62e-08","541100"
541191,"Title Abstract and Settlement Offices","HFC-143a","kg/2021 USD, purchaser price","5.32e-08","0.00e+00","5.32e-08","541100"
541191,"Title Abstract and Settlement Offices","Sulfur hexafluoride","kg/2021 USD, purchaser price","3.50e-09","0.00e+00","3.50e-09","541100"
541199,"All Other Legal Services","Carbon dioxide","kg/2021 USD, purchaser price","4.63e-02","0.00e+00","4.63e-02","541100"
541199,"All Other Legal Services","Carbon tetrafluoride","kg/2021 USD, purchaser price","4.92e-09","0.00e+00","4.92e-09","541100"
541199,"All Other Legal Services","Hexafluoroethane","kg/2021 USD, purchaser price","1.14e-09","0.00e+00","1.14e-09","541100"
5
