rs of Residential Buildings and Dwellings","HFC-134a","kg/2021 USD, purchaser price","1.20e-07","0.00e+00","1.20e-07","531HSO,531HST"
531190,"Lessors of Other Real Estate Property","HFC-236fa","kg/2021 USD, purchaser price","2.03e-09","0.00e+00","2.03e-09","531ORE"
531190,"Lessors of Other Real Estate Property","Nitrous oxide","kg/2021 USD, purchaser price","2.47e-05","0.00e+00","2.47e-05","531ORE"
531190,"Lessors of Other Real Estate Property","HFC-134a","kg/2021 USD, purchaser price","7.76e-07","0.00e+00","7.76e-07","531ORE"
531190,"Lessors of Other Real Estate Property","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","3.05e-07","0.00e+00","3.05e-07","531ORE"
531190,"Lessors of Other Real Estate Property","Perfluoropropane","kg/2021 USD, purchaser price","1.59e-10","0.00e+00","1.59e-10","531ORE"
531190,"Lessors of Other Real Estate Property","Perfluorocyclobutane","kg/2021 USD, purchaser price","1.36e-10","0.00e+00","1.36e-10","531ORE"
531190,"Lessors of Other Real Estate Property","Nitrogen trifluoride","kg/2021 USD, purchaser price","4.89e-10","0.00e+00","4.89e-10","531ORE"
531190,"Lessors of Other Real Estate Property","HFC-125","kg/2021 USD, purchaser price","3.03e-07","0.00e+00","3.03e-07","531ORE"
531190,"Lessors of Other Real Estate Property","HFC-32","kg/2021 USD, purchaser price","1.83e-07","0.00e+00","1.83e-07","531ORE"
531190,"Lessors of Other Real Estate Property","Methane","kg/2021 USD, purchaser price","1.08e-03","0.00e+00","1.08e-03","531ORE"
531190,"Lessors of Other Real Estate Property","Sulfur hexafluoride","kg/2021 USD, purchaser price","2.36e-08","0.00e+00","2.36e-08","531ORE"
531210,"Offices of Real Estate Agents and Brokers","Carbon dioxide","kg/2021 USD, purchaser price","3.13e-01","0.00e+00","3.13e-01","531ORE"
531210,"Offices of Real Estate Agents and Brokers","HFC-143a","kg/2021 USD, purchaser price","1.13e-07","0.00e+00","1.13e-07","531ORE"
531210,"Offices of Real Estate Agents and Brokers","HFC-236fa","kg/2021 USD, purchaser price","2.03e-09","0.00e+00","2.03e-09","531ORE"
531210,"Offices of Real Estate Agents and Brokers","Nitrous oxide","kg/2021 USD, purchaser price","2.47e-05","0.00e+00","2.47e-05","531ORE"
531210,"Offices of Real Estate Agents and Brokers","HFC-134a","kg/2021 USD, purchaser price","7.76e-07","0.00e+00","7
