Agencies","HFC-125","kg/2021 USD, purchaser price","1.07e-06","0.00e+00","1.07e-06","541800"
541860,"Direct Mail Advertising","HFC-143a","kg/2021 USD, purchaser price","3.99e-07","0.00e+00","3.99e-07","541800"
541860,"Direct Mail Advertising","Hexafluoroethane","kg/2021 USD, purchaser price","5.67e-09","0.00e+00","5.67e-09","541800"
541860,"Direct Mail Advertising","HFC-236fa","kg/2021 USD, purchaser price","7.20e-09","0.00e+00","7.20e-09","541800"
541860,"Direct Mail Advertising","Nitrous oxide","kg/2021 USD, purchaser price","1.82e-05","0.00e+00","1.82e-05","541800"
541860,"Direct Mail Advertising","HFC-134a","kg/2021 USD, purchaser price","2.74e-06","0.00e+00","2.74e-06","541800"
541860,"Direct Mail Advertising","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.08e-06","0.00e+00","1.08e-06","541800"
541860,"Direct Mail Advertising","Perfluoropropane","kg/2021 USD, purchaser price","4.01e-10","0.00e+00","4.01e-10","541800"
541860,"Direct Mail Advertising","Perfluorocyclobutane","kg/2021 USD, purchaser price","3.44e-10","0.00e+00","3.44e-10","541800"
541860,"Direct Mail Advertising","Nitrogen trifluoride","kg/2021 USD, purchaser price","1.23e-09","0.00e+00","1.23e-09","541800"
541860,"Direct Mail Advertising","HFC-125","kg/2021 USD, purchaser price","1.07e-06","0.00e+00","1.07e-06","541800"
541860,"Direct Mail Advertising","HFC-32","kg/2021 USD, purchaser price","6.47e-07","0.00e+00","6.47e-07","541800"
541860,"Direct Mail Advertising","Methane","kg/2021 USD, purchaser price","3.42e-04","0.00e+00","3.42e-04","541800"
541860,
