r Transmission Equipment Manufacturing","Nitrous oxide","kg/2021 USD, purchaser price","1.01e-05","4.20e-06","1.43e-05","333613"
333921,"Elevator and Moving Stairway Manufacturing","Carbon tetrafluoride","kg/2021 USD, purchaser price","1.79e-07","3.87e-09","1.83e-07","333920"
333921,"Elevator and Moving Stairway Manufacturing","Nitrogen trifluoride","kg/2021 USD, purchaser price","4.86e-09","2.81e-10","5.15e-09","333920"
333921,"Elevator and Moving Stairway Manufacturing","HFC-32","kg/2021 USD, purchaser price","1.05e-07","4.11e-08","1.47e-07","333920"
333921,"Elevator and Moving Stairway Manufacturing","HFC-143a","kg/2021 USD, purchaser price","6.51e-08","2.54e-08","9.05e-08","333920"
333921,"Elevator and Moving Stairway Manufacturing","Hexafluoroethane","kg/2021 USD, purchaser price","3.46e-08","9.83e-10","3.56e-08","333920"
333921,"Elevator and Moving Stairway Manufacturing","Nitrous oxide","kg/2021 USD, purchaser price","1.34e-05","3.68e-06","1.71e-05","333920"
333921,"Elevator and Moving Stairway Manufacturing","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.76e-07","6.85e-08","2.44e-07","333920"
333921,"Elevator and Moving Stairway Manufacturing","HFC-23","kg/2021 USD, purchaser price","2.48e-08","2.04e-09","2.69e-08","333920"
333921,"Elevator and Moving Stairway Manufacturing","HFC-125","kg/2021 USD, purchaser price","1.75e-07","6.80e-08","2.43e-07","333920"
333921,"Elevator and Moving Stairway Manufacturing","Perfluorocyclobutane","kg/2021 USD, purchaser price","1.35e-09","7.81e-11","1.43e-09","333920"
333921,"Elevator and Moving Stairway Manufacturing","Perfluoropropane","kg/2021 USD, purchaser price","1.58e-09","9.11e-11","1.67e-09","333920"
333921,"Elevator and Moving Stairway Manufacturing","Sulfur hexafluoride","kg/2021 USD, purchaser price","3.25e-08","1.66e-09","3.41e-08","333920"
333922,"Conveyor and Conveying Equipment Manufacturing","Carbon dioxide","kg/2021 USD, purchaser price","2.40e-01","2.67e-02","2.67e-01","333920"
333922,"Conveyor and Conveying Equipment Manufacturing","Methane","kg/2021 USD, purchaser price","6.45e-04","1.12e-04","7.57e-04","333920"
333922,"Conveyor and Conveying Equipment Manufacturing","HFC-236fa","kg/
